0;Partenza;Depart;"""""";0;200;
1;Corti;ProprieteMaison;marron;60;40;
2;Communautaire;Chance;"""""";100;100;
3;I prunelli di fiumorbu;ProprieteMaison;marron;60;40;
4;Impot revolutionnaire;Impot;"""""";0;200;
5;Areoportu d'aiacciu;ProprieteGare;gare;200;50;
6;Furiani;ProprieteMaison;ciel;100;60;
7;Chance;Chance;"""""";0;100;
8;U viscuvatu;ProprieteMaison;ciel;100;60;
9;A penta di casinca;ProprieteMaison;ciel;120;70;
10;Prigione;NoAction;"""""";0;0;
11;U borgu;ProprieteMaison;rose;140;80;
12;Edf;ProprieteCompagnie;compagnie;150;0;
13;Biguglia;ProprieteMaison;rose;140;80;
14;San martinu di lota;ProprieteMaison;rose;160;90;
15;Gara di bastia;ProprieteGare;gare;200;50;
16;Patrimoniu;ProprieteMaison;orange;180;100;
17;Communautaire;Chance;"""""";0;100;
18;Bastia;ProprieteMaison;orange;180;100;
19;Brando;ProprieteMaison;orange;200;110;
20;Parc gratuit;NoAction;"""""";0;0;
21;E vile di pietrabugnu;ProprieteMaison;rouge;220;120;
22;Chance;Chance;"""""";0;100;
23;Ota;ProprieteMaison;rouge;220;120;
24;San gavinu d'ampugnani;ProprieteMaison;rouge;240;130;
25;Portu di bunifaziu;ProprieteGare;gare;200;50;
26;Aiacciu;ProprieteMaison;jaune;260;140;
27;Lisula;ProprieteMaison;jaune;260;140;
28;Acqua publica;ProprieteCompagnie;compagnie;150;0;
29;Calvi;ProprieteMaison;jaune;280;150;
30;Anda in prigio;AllerEnPrison;"""""";0;0;
31;Sarte;ProprieteMaison;vert;300;160;
32;Prupria;ProprieteMaison;vert;300;160;
33;Communautaire;Chance;"""""";0;100;
34;Bunifaziu;ProprieteMaison;vert;320;170;
35;Gara di calvi;ProprieteGare;gare;200;110;
36;Chance;Chance;"""""";0;100;
37;Portivechju;ProprieteMaison;bleu;350;185;
38;Taxe de luxe;Impot;"""""";200;100;
39;San fiurenzu;ProprieteMaison;bleu;400;210
